Title,Conference,Type,Application,MLTech,OpenReviewLink
Multimodal Deep Learning Model Unveils Behavioral Dynamics of V1 Activity in Freely Moving Mice,NeurIPS_2023,Poster,Neurosciences,Representation_Learning,https://openreview.net/forum?id=qv5UZJTNda
Physics-Informed Bayesian Optimization of Variational Quantum Circuits,NeurIPS_2023,Poster,Physics,Optmization,https://openreview.net/forum?id=xfBeVGJwyL
Estimating Koopman operators with sketching to provably learn large scale dynamical systems,NeurIPS_2023,Poster,Physics,Neural_Operator,https://openreview.net/forum?id=GItLpB1vhK
Scalable Transformer for PDE Surrogate Modeling,NeurIPS_2023,Poster,Math,Transformer,https://openreview.net/forum?id=djyn8Q0anK
ProteinNPT: Improving Protein Property Prediction and Design with Non-Parametric Transformers,NeurIPS_2023,Poster,Biology,Transformer,https://openreview.net/forum?id=AwzbQVuDBk
Accelerating Molecular Graph Neural Networks via Knowledge Distillation,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=A18PgVSUgf
Nonparametric Boundary Geometry in Physics Informed Deep Learning,NeurIPS_2023,Poster,Physics,Geometric_Deep_Learning,https://openreview.net/forum?id=WAd5ZRdFoc
An information-theoretic quantification of the content of communication between brain regions,NeurIPS_2023,Poster,Neurosciences,Information_Theory,https://openreview.net/forum?id=lD8xaUWw24
xTrimoGene: An Efficient and Scalable Representation Learner for Single-Cell RNA-Seq Data,NeurIPS_2023,Poster,Biology,Transformer,https://openreview.net/forum?id=gdwcoBCMVi
Operator Learning with Neural Fields: Tackling PDEs on General Geometries,NeurIPS_2023,Poster,Physics,Neural_Operator,https://openreview.net/forum?id=4jEjq5nhg1
Injecting Multimodal Information into Rigid Protein Docking via Bi-level Optimization,NeurIPS_2023,Poster,Biology,Optmization,https://openreview.net/forum?id=ZuaVKlWdD2
Functional-Group-Based Diffusion for Pocket-Specific Molecule Generation and Elaboration,NeurIPS_2023,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=lRG11M91dx
DYffusion: A Dynamics-informed Diffusion Model for Spatiotemporal Forecasting,NeurIPS_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=WRGldGm5Hz
Stochastic Approximation Algorithms for Systems of Interacting Particles,NeurIPS_2023,Poster,Physics,Optmization,https://openreview.net/forum?id=X6mwdEVYvc
FABind: Fast and Accurate Protein-Ligand Binding,NeurIPS_2023,Poster,Biology,Neural_Network,https://openreview.net/forum?id=PnWakgg1RL
Efficiently incorporating quintuple interactions into geometric deep learning force fields,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=bPJmu1PbZD
"Provable Adversarial Robustness for Group Equivariant Tasks: Graphs, Point Clouds, Molecules, and More",NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=mLe63bAYc7
Convergence analysis of ODE models for accelerated first-order methods via positive semidefinite kernels,NeurIPS_2023,Poster,Math,Optmization,https://openreview.net/forum?id=XFE6zpevLc
Entropy-dissipation Informed Neural Network for McKean-Vlasov Type PDEs,NeurIPS_2023,Poster,Math,Neural_Network,https://openreview.net/forum?id=FkpMm9avyP
Variational Monte Carlo on a Budget -- Fine-tuning pre-trained Neural Wavefunctions,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=FBNyccPfAu
Statistical Analysis of Quantum State Learning Process in Quantum Neural Networks,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=6gcY0MGNhj
PICProp: Physics-Informed Confidence Propagation for Uncertainty Quantification,NeurIPS_2023,Poster,Physics,Uncertainty_Quantification,https://openreview.net/forum?id=EETqXXdqkI
The emergence of clusters in self-attention dynamics,NeurIPS_2023,Poster,Physics,Transformer,https://openreview.net/forum?id=aMjaEkkXJx
Geometric Transformer with Interatomic Positional Encoding,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=9o6KQrklrE
May the Force be with You: Unified Force-Centric Pre-Training for 3D Molecular Conformations,NeurIPS_2023,Poster,Chemistry,Transformer,https://openreview.net/forum?id=Ge8Mhggq0z
DPM-Solver-v3: Improved Diffusion ODE Solver with Empirical Model Statistics,NeurIPS_2023,Poster,Math,Generative_Model,https://openreview.net/forum?id=9fWKExmKa0
Geometry-Informed Neural Operator for Large-Scale 3D PDEs,NeurIPS_2023,Poster,Math,Neural_Operator,https://openreview.net/forum?id=86dXbqT5Ua
Neural Ideal Large Eddy Simulation: Modeling Turbulence with Neural Stochastic Differential Equations,NeurIPS_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=x6cOcxRnxG
Self-Supervised Learning of Representations for Space Generates Multi-Modular Grid Cells,NeurIPS_2023,Poster,Neurosciences,Representation_Learning,https://openreview.net/forum?id=8ox2vrQiTF
Learning to Group Auxiliary Datasets for Molecule,NeurIPS_2023,Poster,Chemistry,Optmization,https://openreview.net/forum?id=r9eZH6WNm2
GAUCHE: A Library for Gaussian Processes in Chemistry,NeurIPS_2023,Poster,Chemistry,Gaussian_Process,https://openreview.net/forum?id=vzrA6uqOis
ANTN: Bridging Autoregressive Neural Networks and Tensor Networks for Quantum Many-Body Simulation,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=qdsDy0zbn4
End-To-End Latent Variational Diffusion Models for Inverse Problems in High Energy Physics,NeurIPS_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=v7WWesSiOu
Density of States Prediction of Crystalline Materials via Prompt-guided Multi-Modal Transformer,NeurIPS_2023,Poster,Materials,Generative_Model,https://openreview.net/forum?id=2lWh1G1W1I
Scaling laws for language encoding models in fMRI,NeurIPS_2023,Poster,Neurosciences,Language_Model,https://openreview.net/forum?id=2W4LxJbgec
Fragment-based Pretraining and Finetuning on Molecular Graphs,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=77Nq1KjmLl
CORNN: Convex optimization of recurrent neural networks for rapid inference of neural dynamics,NeurIPS_2023,Poster,Neurosciences,Recurrent_Neural_Network ,https://openreview.net/forum?id=GGIA1p9fDT
Hyper-HMM: aligning human brains and semantic features in a common latent event space,NeurIPS_2023,Poster,Neurosciences,Probabilistic_Model,https://openreview.net/forum?id=w6krZiUa7t
SyncTREE: Fast Timing Analysis for Integrated Circuit Design through a Physics-informed Tree-based Graph Neural Network,NeurIPS_2023,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=bprclnHNvm
PETAL: Physics Emulation Through Averaged Linearizations for Solving Inverse Problems,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=CXrRMfs5eY
AmadeusGPT: a natural language interface for interactive animal behavioral analysis,NeurIPS_2023,Poster,Neurosciences,Language_Model,https://openreview.net/forum?id=9AcG3Tsyoq
Probabilistic inverse optimal control for non-linear partially observable systems disentangles perceptual uncertainty and behavioral costs,NeurIPS_2023,Poster,Neurosciences,Probabilistic_Model,https://openreview.net/forum?id=xDHzQQ4lnC
Learning Space-Time Continuous Latent Neural PDEs from Partially Observed States,NeurIPS_2023,Poster,Math,Probabilistic_Model,https://openreview.net/forum?id=9cF6RUwMe7
Predicting mutational effects on protein-protein binding via a side-chain diffusion probabilistic model,NeurIPS_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=BGP5Vjt93A
MMGP: a Mesh Morphing Gaussian Process-based machine learning method for regression of physical problems under nonparametrized geometrical variability,NeurIPS_2023,Poster,Physics,Gaussian_Process,https://openreview.net/forum?id=Ca78M3awPw
GeoTMI: Predicting Quantum Chemical Property with Easy-to-Obtain Geometry via Positional Denoising,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=5JcKKRX2iH
Convolutional Neural Operators for robust and accurate learning of PDEs,NeurIPS_2023,Poster,Math,Neural_Operator,https://openreview.net/forum?id=MtekhXRP4h
REFINE: A Fine-Grained Medication Recommendation System Using Deep Learning and Personalized Drug Interaction Modeling,NeurIPS_2023,Poster,Healthcare,Transformer,https://openreview.net/forum?id=GsCTjmYe5v
"Contrast, Attend and Diffuse to Decode High-Resolution Images from Brain Activities",NeurIPS_2023,Poster,Neurosciences,Generative_Model,https://openreview.net/forum?id=YZSLDEE0mw
Graph Denoising Diffusion for Inverse Protein Folding,NeurIPS_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=u4YXKKG5dX
DSR: Dynamical Surface Representation as Implicit Neural Networks for Protein,NeurIPS_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=IOSaJ7ukgf
Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series,NeurIPS_2023,Poster,Healthcare,Representation_Learning,https://openreview.net/forum?id=sOQBHlCmzp
Using Imperfect Surrogates for Downstream Inference: Design-based Supervised Learning for Social Science Applications of Large Language Models,NeurIPS_2023,Poster,Social_Science,Language_Model,https://openreview.net/forum?id=e8RZwixcE4
Deep Equilibrium Based Neural Operators for Steady-State PDEs,NeurIPS_2023,Poster,Math,Neural_Operator,https://openreview.net/forum?id=v6YzxwJlQn
Transfer learning for atomistic simulations using GNNs and kernel mean embeddings,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=Enzew8XujO
Evaluating Cognitive Maps and Planning in Large Language Models with CogEval,NeurIPS_2023,Poster,Neurosciences,Language_Model,https://openreview.net/forum?id=VtkGvGcGe3
Bootstrapped Training of Score-Conditioned Generator for Offline Design of Biological Sequences,NeurIPS_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=fj0ZeRtUTU
GIMLET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning,NeurIPS_2023,Poster,Chemistry,Language_Model,https://openreview.net/forum?id=Tt6DrRCgJV
Amortized Reparametrization: Efficient and Scalable Variational Inference for Latent SDEs,NeurIPS_2023,Poster,Math,Gaussian_Process,https://openreview.net/forum?id=5yZiP9fZNv
De novo Drug Design using Reinforcement Learning with Multiple GPT Agents,NeurIPS_2023,Poster,Biology,Reinforcement_Learning,https://openreview.net/forum?id=1B6YKnHYBb
Explainable Brain Age Prediction using coVariance Neural Networks,NeurIPS_2023,Poster,Neurosciences,Graph_Neural_Network,https://openreview.net/forum?id=cAhJF87GN0
Evaluating Cognitive Maps and Planning in Large Language Models with CogEval,NeurIPS_2023,Poster,Neurosciences,Language_Model,https://openreview.net/forum?id=VtkGvGcGe3
Self-Supervised Learning with Lie Symmetries for Partial Differential Equations,NeurIPS_2023,Poster,Math,Embedding,https://openreview.net/forum?id=ZULq9QV8rH
Implicit Transfer Operator Learning: Multiple Time-Resolution Models for Molecular Dynamics,NeurIPS_2023,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=1kZx7JiuA2
Rethinking Tokenizer and Decoder in Masked Graph Modeling for Molecules,NeurIPS_2023,Poster,Chemistry,Representation_Learning,https://openreview.net/forum?id=fWLf8DV0fI
DeepSimHO: Stable Pose Estimation for Hand-Object Interaction via Physics Simulation,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=SxVHyYavHy
Understanding the Limitations of Deep Models for Molecular property prediction: Insights and Solutions,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=NLFqlDeuzt
Generalization bounds for neural ordinary differential equations and deep residual networks,NeurIPS_2023,Poster,Math,Residual_Neural_Network,https://openreview.net/forum?id=992vogTP1L
Beyond Geometry: Comparing the Temporal Structure of Computation in Neural Circuits with Dynamical Similarity Analysis,NeurIPS_2023,Poster,Neurosciences,Recurrent_Neural_Network ,https://openreview.net/forum?id=7blSUMwe7R
Efficient Sampling of Stochastic Differential Equations with Positive Semi-Definite Models,NeurIPS_2023,Poster,Math,Kernel_Methods,https://openreview.net/forum?id=mookk2nLO9
NVFi: Neural Velocity Fields for 3D Physics Learning from Dynamic Videos,NeurIPS_2023,Poster,Physics,Neural_Network,https://openreview.net/forum?id=gsi9lJ3994
DiffPack: A Torsional Diffusion Model for Autoregressive Protein Side-Chain Packing,NeurIPS_2023,Poster,Biology,Generative_Model,https://openreview.net/forum?id=sXMQPKbLXf
Tanimoto Random Features for Scalable Molecular Machine Learning,NeurIPS_2023,Poster,Chemistry,Gaussian_Process,https://openreview.net/forum?id=MV0INFAKGq
TensorNet: Cartesian Tensor Representations for Efficient Learning of Molecular Potentials,NeurIPS_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=BEHlPdBZ2e
Equivariant Spatio-Temporal Attentive Graph Networks to Simulate Physical Dynamics,NeurIPS_2023,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=35nFSbEBks
How does GPT-2 compute greater-than?: Interpreting mathematical abilities in a pre-trained language model,NeurIPS_2023,Poster,Math,Language_Model,https://openreview.net/forum?id=p4PckNQR8k
A Dual-Stream Neural Network Explains the Functional Segregation of Dorsal and Ventral Visual Pathways in Human Brains,NeurIPS_2023,Poster,Neurosciences,Neural_Network,https://openreview.net/forum?id=Fy1S3v4UAk
Brain Dissection: fMRI-trained Networks Reveal Spatial Selectivity in the Processing of Natural Images,NeurIPS_2023,Poster,Neurosciences,Neural_Network,https://openreview.net/forum?id=q3fA5tTod3
MuSe-GNN: Learning Unified Gene Representation From Multimodal Biological Graph Data,NeurIPS_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=4UCktT9XZx
A Hierarchical Training Paradigm for Antibody Structure-sequence Co-design,NeurIPS_2023,Poster,Biology,Language_Model,https://openreview.net/forum?id=hV52oj0Sik
Social Motion Prediction with Cognitive Hierarchies,NeurIPS_2023,Poster,Social_Science,Reinforcement_Learning,https://openreview.net/forum?id=lRu0dN7BY6
Learning Time-Invariant Representations for Individual Neurons from Population Dynamics,NeurIPS_2023,Poster,Neurosciences,Representation_Learning,https://openreview.net/forum?id=EcN3l6Xmnx
