Title,Conference,Type,Application,MLTech,OpenReviewLink
Wasserstein Quantum Monte Carlo: A Novel Approach for Solving the Quantum Many-Body Schrodinger Equation,NeurIPS_2023,Spotlight,Physics,Neural_Network,https://openreview.net/forum?id=pjSzKhSrfs
Hypernetwork-based Meta-Learning for Low-Rank Physics-Informed Neural Networks,NeurIPS_2023,Spotlight,Math,Neural_Network,https://openreview.net/forum?id=dzqKAM2sKa
QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,NeurIPS_2023,Spotlight,Physics,Optmization,https://openreview.net/forum?id=IKQOS8rqwr
Balancing memorization and generalization in RNNs for high performance brain-machine Interfaces,NeurIPS_2023,Spotlight,Neurosciences,Recurrent_Neural_Network ,https://openreview.net/forum?id=FujJO3dsNj
Sharp Spectral Rates for Koopman Operator Learning,NeurIPS_2023,Spotlight,Physics,Statistical_Learning_Theory,https://openreview.net/forum?id=GItLpB1vhK
Towards Symmetry-Aware Generation of Periodic Materials,NeurIPS_2023,Spotlight,Materials,Generative_Model,https://openreview.net/forum?id=Jkc74vn1aZ
Alleviating the Semantic Gap for Generalized fMRI-to-Image Reconstruction,NeurIPS_2023,Spotlight,Neurosciences,Generative_Model,https://openreview.net/forum?id=qSS9izTOpo
AbDiffuser: full-atom generation of in-vitro functioning antibodies,NeurIPS_2023,Spotlight,Biology,Generative_Model,https://openreview.net/forum?id=7GyYpomkEa
What Makes Data Suitable for a Locally Connected Neural Network? A Necessary and Sufficient Condition Based on Quantum Entanglement.,NeurIPS_2023,Spotlight,Physics,Neural_Network,https://openreview.net/forum?id=4aIpgq1nuI
Prefix-Tree Decoding for Predicting Mass Spectra from Molecules,NeurIPS_2023,Spotlight,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=NWEbeI2HNQ
Stochastic Optimal Control for Collective Variable Free Sampling of Molecular Transition Paths,NeurIPS_2023,Poster,Chemistry,Sampling,https://openreview.net/forum?id=LUVqEs90mq
"AMAG: Additive, Multiplicative and Adaptive Graph Neural Network For Forecasting Neuron Activity",NeurIPS_2023,Poster,Neurosciences,Graph_Neural_Network,https://openreview.net/forum?id=7ntI4kcoqG
Versatile Energy-Based Probabilistic Models for High Energy Physics,NeurIPS_2023,Poster,Physics,Generative_Model,https://openreview.net/forum?id=j0U6XJubbP
M²Hub: Unlocking the Potential of Machine Learning for Materials Discovery,NeurIPS_2023,Poster,Materials,Graph_Neural_Network,https://openreview.net/forum?id=eJ5nu9qvWz
Disentangled Wasserstein Autoencoder for T-Cell Receptor Engineering,NeurIPS_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=Eb74zfBkWa
Spatially Resolved Gene Expression Prediction from Histology Images via Bi-modal Contrastive Learning,NeurIPS_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=eT1tMdAUoc
